system:index,B11,B12,B2,B3,B4,B8,MNDWI,NDBI,NDVI,NDWI,label,rand,.geo
10521,0.6692,0.5967,0.3332,0.4348,0.5348,0.5836,-0.21440375,0.080084726,0.046087906,-0.14252517,7,0.3310386244617223,"{""type"":""MultiPoint"",""coordinates"":[]}"
10522,0.4141,0.3815,0.1852,0.231,0.2824,0.3464,-0.29373035,0.09016715,0.09828524,-0.23228532,7,0.9229912585969922,"{""type"":""MultiPoint"",""coordinates"":[]}"
10523,0.4656,0.37785,0.2424,0.3186,0.3884,0.4512,-0.18717729,0.017616265,0.07711915,-0.19312523,7,0.9658536733314436,"{""type"":""MultiPoint"",""coordinates"":[]}"
10524,0.4046,0.3708,0.198,0.2378,0.2876,0.404,-0.28449848,0.050059438,0.12473572,-0.21683331,7,0.02448741104228358,"{""type"":""MultiPoint"",""coordinates"":[]}"
10525,0.6399,0.5809,0.3332,0.4288,0.5072,0.5673,-0.2084603,0.074443504,0.0509091,-0.14355034,7,0.9265834681639664,"{""type"":""MultiPoint"",""coordinates"":[]}"
10526,0.4061,0.3714,0.1864,0.233,0.281,0.3524,-0.26854068,0.08571427,0.10924371,-0.20153388,7,0.20838207628665184,"{""type"":""MultiPoint"",""coordinates"":[]}"
10527,0.4141,0.36745,0.2025,0.2422,0.2896,0.35579997,-0.2573874,0.08098775,0.1036076,-0.18973476,7,0.21330794741552184,"{""type"":""MultiPoint"",""coordinates"":[]}"
10528,0.45859998,0.409,0.2078,0.2509,0.3047,0.3998,-0.2834657,0.073618576,0.119332336,-0.21111003,7,0.41657014870022646,"{""type"":""MultiPoint"",""coordinates"":[]}"
10529,0.3635,0.2769,0.1366,0.1982,0.2596,0.3868,-0.28469348,-0.029140696,0.19146264,-0.3057793,7,0.8035950978759029,"{""type"":""MultiPoint"",""coordinates"":[]}"
10530,0.40579998,0.3664,0.1872,0.2321,0.2819,0.34305,-0.26944405,0.089325346,0.09162605,-0.1875402,7,0.733779905791365,"{""type"":""MultiPoint"",""coordinates"":[]}"
10531,0.584,0.5102,0.2557,0.3372,0.4242,0.47745,-0.2798081,0.11751318,0.07003839,-0.17820592,7,0.5421006577109384,"{""type"":""MultiPoint"",""coordinates"":[]}"
10532,0.3876,0.348,0.201,0.2386,0.2806,0.3732,-0.29520053,0.054406952,0.1381418,-0.19904362,7,0.5705101751367887,"{""type"":""MultiPoint"",""coordinates"":[]}"
10533,0.46015,0.3955,0.1714,0.2161,0.2562,0.41325,-0.3724856,0.052873492,0.24050099,-0.31580055,7,0.23002023933223237,"{""type"":""MultiPoint"",""coordinates"":[]}"
10534,0.4166,0.37475,0.1854,0.2349,0.2875,0.34635,-0.27677917,0.093657576,0.09043756,-0.194253,7,0.9457639805467317,"{""type"":""MultiPoint"",""coordinates"":[]}"
10535,0.40655,0.3683,0.1879,0.2326,0.2823,0.3449,-0.26745418,0.089979544,0.09190981,-0.18599607,7,0.4897311486146363,"{""type"":""MultiPoint"",""coordinates"":[]}"
10536,0.43185002,0.39015,0.1449,0.19510001,0.2566,0.368,-0.39479783,0.09000315,0.150571,-0.2873638,7,0.6525321439046639,"{""type"":""MultiPoint"",""coordinates"":[]}"
10537,0.6691,0.5846,0.3064,0.4016,0.4824,0.542,-0.25265554,0.1126649,0.05810398,-0.15127526,7,0.028234965879173513,"{""type"":""MultiPoint"",""coordinates"":[]}"
10538,0.42430001,0.38425,0.1432,0.192,0.25825,0.3548,-0.38167194,0.08727447,0.1471908,-0.28536135,7,0.9290194306097294,"{""type"":""MultiPoint"",""coordinates"":[]}"
10539,0.43195,0.3777,0.1576,0.2035,0.2707,0.34759998,-0.34204897,0.11438267,0.11071259,-0.23684503,7,0.1112412897941093,"{""type"":""MultiPoint"",""coordinates"":[]}"
10540,0.49269998,0.4236,0.2097,0.25480002,0.31105,0.3934,-0.32410875,0.11833411,0.11099703,-0.21944447,7,0.725381652381063,"{""type"":""MultiPoint"",""coordinates"":[]}"
10541,0.40710002,0.36875,0.1955,0.2339,0.2868,0.34825,-0.26319078,0.08382496,0.08935395,-0.18888804,7,0.5446228612454904,"{""type"":""MultiPoint"",""coordinates"":[]}"
